# mode,type#signature,ATR,elapsedTime,APDUHeader,inputType:value,inputDivision
time,"jcfrost.FrostSession#sign(byte[],short,short,byte[],short)",3B9E958101414A434F5301454854015200560082,0 days 00:08:14.060,00040400,regex:66726f7374,none
# input1,input2,input3,...
66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374
# trapName,measurement1,measurement2,...
TRAP_jcfrost_FrostSession_hash_sign_argb_byte_arr__short__short__byte_arr__short_arge_1,10308841,10838254,10762334,10667689,10841488,10222910,9850770,10872798,10866492,10597532
TRAP_jcfrost_FrostSession_hash_sign_argb_byte_arr__short__short__byte_arr__short_arge_2,1871575801,1884595234,1874530268,1893507466,1887161481,1891301765,1886786601,1872049406,1888842858,1882454842
TRAP_jcfrost_FrostSession_hash_sign_argb_byte_arr__short__short__byte_arr__short_arge_3,7986827978,7921249250,7873865976,7942771148,7839532142,7982479681,7910392789,7925081993,7965120988,8037212199
TRAP_jcfrost_FrostSession_hash_sign_argb_byte_arr__short__short__byte_arr__short_arge_4,1217393731,1360841120,1297828832,1343787531,1376433104,1389839643,1288312704,1302925703,1377487104,1372818204
TRAP_jcfrost_FrostSession_hash_sign_argb_byte_arr__short__short__byte_arr__short_arge_5,374104503,373216680,375623176,377425444,377510179,375686408,376646644,376491173,373388599,377340774
TRAP_jcfrost_FrostSession_hash_sign_argb_byte_arr__short__short__byte_arr__short_arge_6,600106861,596768646,548725338,581705747,563619430,562909684,564958822,581848647,546622520,597110410
