# mode,type#signature,ATR,elapsedTime,APDUHeader,inputType:value,inputDivision
time,"jcfrost.FrostSession#sign(byte[],short,short,byte[],short)",3BD518FF8191FE1FC38073C821100A,0 days 00:12:48.166,00040400,regex:66726f7374,none
# input1,input2,input3,...
66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374
# trapName,measurement1,measurement2,...
TRAP_jcfrost_FrostSession_hash_sign_argb_byte_arr__short__short__byte_arr__short_arge_1,7069150,6976214,7874172,7327169,7854080,7764478,7699843,7301671,6944530,7703112,6861241,7885166,7592137,6958297,7748950,7050355,6723731,6963133,7395557,7521186,7662401,7582630,7703816,7781504,7168893,6848848,7206389,7472700,7604912,7590503,6860835,6670870,7075187,6844611,7505630,7702804,7622301,6943710,7579102,6584949,6918245,7523649,7512764,7543695,7534540,7665846,7836851,6722679,7597527,7606232,7686468,7663132,7604985,7468111,6977414,6711225,7102381,7531377,6965429,7508436,7722483,7494810,7457550,6702786,7255055,7455333,7446178,7047311,7658051,7387893,7435024,6697950,7561661,7402737,7414334,6918788,6648389,7677647,7429654,6733557,6877843,7443402,7465697,7521637,7509497,7336130,7512900,6694291,7532395,7556756,7488244,7671082,7630754,7321908,7072648,6638707,7612255,7483125,7558150,7450410
TRAP_jcfrost_FrostSession_hash_sign_argb_byte_arr__short__short__byte_arr__short_arge_2,861780746,872649187,870970506,869562640,867042791,869771014,868374709,867676892,840281331,861315624,869841446,858653801,871946903,862736509,871168237,862779127,873928378,864257973,859373378,874928816,868326230,870890747,868863746,871395754,873547675,873555895,868639643,870562619,869045753,869267898,870106158,868684949,872876577,871155556,859088689,870045506,866994209,863087883,858293424,871382166,866824168,868110831,865727829,868741488,870280557,867681888,863640993,871762368,871982295,875014171,866970372,857889272,868571450,857532947,870971602,870051818,871902648,875314452,859269450,872230841,862954604,873009238,860566536,870817874,869807710,871817531,869190198,868193217,874300044,861997571,860788716,872106805,867672027,865052291,875114287,871612146,854047448,866749368,870169771,850563511,860646567,862559475,870056102,871031494,858143666,861291558,860156102,858138807,852648524,865061476,872139940,856377518,872083985,874289272,856628803,872721611,867920307,870003291,873113889,865976544
TRAP_jcfrost_FrostSession_hash_sign_argb_byte_arr__short__short__byte_arr__short_arge_3,296153636,283102264,282699669,283085765,282871078,283243563,282885843,282940769,283596668,283034147,283458029,283231006,282988438,282812686,283479284,282404084,282531847,283591136,283045700,283241004,283435267,283146279,282928936,282776206,282898209,283027792,283022678,282209849,282422071,283221389,283332786,283365688,283331514,283184600,282724430,282945121,283246251,282731839,282210812,283459733,283416473,283214194,283032929,283120736,283611841,282824494,282641402,283183418,283160519,282418911,283183317,282900366,283393446,283073215,282732511,283490855,283338493,282782694,283583198,282829821,283102472,282827787,283926285,282727202,282488119,282940166,282725404,283363216,283091445,282601220,283218304,283440707,282779784,283128813,283178633,282567897,282637161,283407730,283496503,282920145,282955253,283290797,282851384,283023647,283424572,282706434,282603799,283173221,283118281,283142407,282479635,283136384,282673904,283215816,283402805,283266111,282918508,282871094,283337418,282805386
TRAP_jcfrost_FrostSession_hash_sign_argb_byte_arr__short__short__byte_arr__short_arge_4,173811577,150652983,158593821,158197612,153682254,160095297,149574432,157798869,161242956,157936563,159726663,149293307,153989803,157624704,160681299,162508179,150123695,161056122,165764755,149173206,159925572,152419770,161959541,149072839,157857893,149626438,159824181,149587929,149895140,159842659,162261731,162029176,148352223,153776079,162028114,158315651,161176067,160626247,153456347,158011555,153357330,152782353,164184860,149684106,148216594,149376597,149456623,153053578,159972590,153570670,157653699,160304558,159192229,162230331,162437679,153131200,161896856,157974445,156828877,165377268,153028007,153541192,156986360,153550249,153508598,152984663,158693512,158227548,153057097,160946283,148801486,160356693,162217947,161598573,148132756,162366844,152877393,165175118,148301157,162654255,161462319,148892904,149970787,162007058,148424033,158920485,153984275,157378056,161106696,160450658,162105754,164634595,165276786,161312885,157707345,160473538,158028252,152862226,152481042,161939480
TRAP_jcfrost_FrostSession_hash_sign_argb_byte_arr__short__short__byte_arr__short_arge_5,238965536,261579066,261608661,262617326,266061894,270065270,261637316,252315141,269926316,263713390,269110217,259331329,268663253,261059066,269200019,268516616,261082475,269412855,253360389,262452119,267580247,269237350,268200336,263371553,263558066,262117077,271084875,250535414,262175755,260780003,266035446,268414241,264031537,267264715,266347361,262770131,262397363,263616537,258065825,262213172,267192732,268290242,263633324,260788060,264267725,264358828,259906511,269151032,266755820,268559886,263377802,265529449,268153929,267448094,268569823,258562253,268281429,262825988,265530964,262331474,266022492,268506784,264257702,266787644,268829680,269268351,261865920,263244504,270721776,268159126,263260705,268912223,270383140,265121974,262064239,265961159,267714987,260386001,260775472,267239288,267596221,263286765,261073738,267517362,266442780,261362201,266434092,265285435,266173263,267744296,267343413,264185370,263854314,269250296,260947540,269795464,261724362,269161231,268800558,265859924
TRAP_jcfrost_FrostSession_hash_sign_argb_byte_arr__short__short__byte_arr__short_arge_6,349830888,360755768,370151697,378307359,372733818,348884699,369474353,369228491,372768471,350928855,371959474,359421038,364160152,360217487,370800169,355848212,369675226,346555467,386802756,359427437,354211816,360756865,338359682,360450584,367054684,351345379,371166761,370510916,352297722,344109671,363101464,345461291,348661433,382148252,355406129,333826650,387271731,364331425,345291276,368447067,363486087,363856831,368138212,386967062,393246786,342702242,360108826,382300900,373530734,353705007,396044648,319030912,352206277,355136868,353992340,380840136,381498639,360034840,366964187,378738063,336791412,346221806,341227493,356214986,346358922,353925339,351209167,359839477,345979873,363374371,351737925,346698902,363272663,373010005,340171410,355376508,362872485,378542260,394838392,373917052,390194024,385331908,387972288,363235404,358291653,388440915,328607998,350840780,334876960,345990682,345089389,342052711,360264953,362809668,367864918,346279078,369423501,355308548,361856764,355471202
