# mode,type#signature,ATR,elapsedTime,APDUHeader,inputType:value,inputDivision
time,"jcfrost.FrostSession#sign(byte[],short,short,byte[],short)",3BD518FF8191FE1FC38073C821100A,0 days 00:02:08.137,00040400,regex:66726f7374,none
# input1,input2,input3,...
66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374,66726f7374
# trapName,measurement1,measurement2,...
TRAP_jcfrost_FrostSession_hash_sign_argb_byte_arr__short__short__byte_arr__short_arge_1,6947665,7059117,6944377,7896248,7824056,7689655,7247735,7074427,7846130,7713473
TRAP_jcfrost_FrostSession_hash_sign_argb_byte_arr__short__short__byte_arr__short_arge_2,419900483,418442519,416963320,418434404,414845818,413720397,419447416,421295780,419084800,417791320
TRAP_jcfrost_FrostSession_hash_sign_argb_byte_arr__short__short__byte_arr__short_arge_3,1979533421,1957829569,1967961599,1995195119,1968880620,1958058546,1967455492,1967386648,1958899422,1977119398
TRAP_jcfrost_FrostSession_hash_sign_argb_byte_arr__short__short__byte_arr__short_arge_4,150794461,143259316,157810932,168004512,164819606,149891273,149933335,141942166,142452017,150192062
TRAP_jcfrost_FrostSession_hash_sign_argb_byte_arr__short__short__byte_arr__short_arge_5,203304203,199703812,202817519,201017836,192262218,203535333,203110555,189793953,191612325,202493846
TRAP_jcfrost_FrostSession_hash_sign_argb_byte_arr__short__short__byte_arr__short_arge_6,454650289,404990926,419080308,420194213,437537627,456356418,402399039,428710645,421529389,430748887
